"","SYMBOL","FC","DESeq2.STAT","PVAL","ADJ.PVAL"
"23429","RYBP",0.236313601270081,4.37323741647958,1.22417466810073e-05,0.152703548098886
"81532","MOB2",-0.300294704905574,-4.37160336867852,1.23337432632056e-05,0.153851113465227
"9969","MED13",0.285887815003569,4.37139792829437,1.23453560974711e-05,0.153995971959855
"5434","POLR2E",-0.35084945732285,-4.37126519724733,1.23528644720038e-05,0.154089631423776
"1719","DHFR",0.349554409818752,4.37106316097577,1.23643016932708e-05,0.15423229932186
"11128","POLR3A",0.259981313702925,4.37069124811407,1.23853820120553e-05,0.154495255218378
"51545","ZNF581",0.344551208635957,4.37035088094259,1.24047043489162e-05,0.154736282048381
"7375","USP4",-0.160121594306144,-4.36891169424476,1.24867241039216e-05,0.155759396472319
"79157","MFSD11",0.253291918896422,4.36820253262072,1.25273295476555e-05,0.156265908777455
"139065","SLITRK4",-0.610183294844849,-4.36804301337227,1.2536480704116e-05,0.156380060303143
"146712","B3GNTL1",0.312206974325768,4.36661902527249,1.26184538801516e-05,0.157402593701011
"53343","NUDT9",0.219767251230896,4.36651482495449,1.26244723061308e-05,0.157477667546676
"90324","CCDC97",0.184337677580572,4.36597955249958,1.26554318948461e-05,0.157863857456311
"25978","CHMP2B",0.224390783331277,4.3653046453769,1.26945710699587e-05,0.158352079526664
"6670","SP3",0.203615388617996,4.36489492164273,1.2718388057924e-05,0.158649172634544
"10230","NBR2",-0.296979509637687,-4.36442693753872,1.27456438460118e-05,0.158989161335152
"55760","DHX32",0.23792957614367,4.36247341855132,1.2860021496937e-05,0.160415908152792
"55677","IWS1",0.164604099957302,4.36160626595196,1.29111061268891e-05,0.161053137826815
"116285","ACSM1",-0.901165945632982,-4.36043955040391,1.29801438040748e-05,0.161914313812029
"55275","VPS53",-0.211857746199189,-4.36019472575427,1.29946753728183e-05,0.162095580600536
"23659","PLA2G15",0.294085307868608,4.35948333938971,1.30369878411982e-05,0.162623386331106
"55254","TMEM39A",0.203599786645932,4.35802846185996,1.31239319963008e-05,0.163707927721857
"54617","INO80",-0.182354650765637,-4.3567581585998,1.32002980171658e-05,0.164660517466126
"9046","DOK2",-0.601492076290227,-4.35575691242494,1.32607878620265e-05,0.165415067790919
"26151","NAT9",0.301888370252505,4.35458202441253,1.33321054179936e-05,0.166304682984052
"4363","ABCC1",0.282150704757829,4.35395668200157,1.33702137435231e-05,0.166780046236708
"53905","DUOX1",-0.604707693312915,-4.35388925485242,1.33743289502298e-05,0.166831379325167
"51528","JKAMP",0.225028452002286,4.35272582433295,1.34455258970501e-05,0.167719490039803
"26354","GNL3",0.270347248200855,4.35213844501682,1.34816081900501e-05,0.168169580562685
"80216","ALPK1",-0.302583678083515,-4.35168438876153,1.35095638222993e-05,0.168518299119361
"57185","NIPAL3",-0.369003877672167,-4.35036075201984,1.35913742624675e-05,0.169538802550019
"649","BMP1",0.424986499390095,4.34989969000669,1.36199820842098e-05,0.169895656518433
"29937","NENF",0.33680926406881,4.34959789759476,1.3638738692136e-05,0.170129626445704
"219988","PATL1",0.250649057928626,4.34640914512195,1.38384333014828e-05,0.172620617002697
"84866","TMEM25",0.442284277187083,4.34614565340868,1.38550585457832e-05,0.1728280003001
"5635","PRPSAP1",-0.215207915121626,-4.34609560778072,1.38582183712968e-05,0.172867415963556
"23031","MAST3",-0.271053981514428,-4.34467433674361,1.39482433343972e-05,0.173990387353271
"26268","FBXO9",-0.199037093041291,-4.3442288203678,1.39765774993725e-05,0.174343827727172
"9534","ZNF254",0.370627164511013,4.34311189165849,1.4047854004226e-05,0.175232930848715
"116115","ZNF526",0.198209461517847,4.34029612894115,1.42290830029996e-05,0.177493581379418
"5719","PSMD13",0.216065752702253,4.3399097271857,1.42541260185836e-05,0.177805967955812
"10488","CREB3",0.253158244618857,4.33965604017325,1.42705905343934e-05,0.178011346326023
"8543","LMO4",-0.459977724318752,-4.3395659152581,1.42764440876287e-05,0.17808436354908
"56478","EIF4ENIF1",-0.157785756426959,-4.33943538960267,1.42849257018126e-05,0.17819016320441
"7205","TRIP6",-0.429206101994769,-4.33732038865211,1.44230310013717e-05,0.179912888711111
"285381","DPH3",-0.215139511912457,-4.33710165481344,1.44373863109681e-05,0.180091956843016
"2309","FOXO3",-0.311434101787659,-4.33548651803215,1.45438088711127e-05,0.18141947185826
"9738","CCP110",0.347690575611812,4.33492313422353,1.45811063164896e-05,0.181884720191891
"56242","ZNF253",0.30917072459462,4.33465540990362,1.45988623035268e-05,0.182106208374193
"10418","SPON1",-0.571183362141639,-4.33343694437709,1.46799340461943e-05,0.183117497292228
"1130","LYST",-0.342876483333878,-4.33167709791718,1.47977852559307e-05,0.184587573282479
"183","AGT",0.748803418576687,4.33143962295494,1.48137570971649e-05,0.184786806030035
"53349","ZFYVE1",-0.21921003848908,-4.32811252900189,1.50392629679009e-05,0.187599766261596
"92797","HELB",0.416281224879568,4.32638056134858,1.51579450362733e-05,0.189080206382474
"342357","ZKSCAN2",0.241168015480331,4.32542692174096,1.52236732875501e-05,0.1899001005889
"23309","SIN3B",-0.233611045449519,-4.32505296100266,1.52495220976363e-05,0.190222538645916
"10085","EDIL3",0.603017480582345,4.32500506048277,1.52528360856897e-05,0.190263877332893
"147645","VSIG10L",-0.52225780608662,-4.32411890773614,1.53142683800913e-05,0.191030183773259
"79171","RBM42",0.261934095164161,4.32106287217267,1.5527941761648e-05,0.193695545534797
"963","CD53",0.413293581673657,4.31875588299144,1.56911224160512e-05,0.195731061017823
"122481","AK7",-0.531514745640598,-4.31874856070367,1.56916429377858e-05,0.19573755400594
"285521","COX18",0.241203364381544,4.31819759112662,1.57308571363479e-05,0.196226711918804
"160857","CCDC122",-0.372676933583425,-4.31617439990025,1.58756567531416e-05,0.198032942338688
"29887","SNX10",0.4808130284643,4.31352440357699,1.60672395228579e-05,0.200422745808129
"9733","SART3",0.190044866422566,4.31330856184636,1.60829405870717e-05,0.200618600883133
"10819","OR7E14P",0.420485477945703,4.31108073997887,1.62458567706526e-05,0.202650817357121
"11237","RNF24",0.397629227178531,4.31068466036883,1.62749854851588e-05,0.203014168941871
"83479","DDX59",0.212319291677677,4.31054723533857,1.62851037030351e-05,0.203140383591659
"5696","PSMB8",0.392460230354001,4.31020298097588,1.63104765107253e-05,0.203456883994788
"3858","KRT10",0.378583085051963,4.30856775214976,1.64315142986306e-05,0.204966709361118
"56910","STARD7",0.18481520593762,4.3077872648448,1.64895864440581e-05,0.205691101303181
"25940","FAM98A",0.265359630504742,4.30646126504707,1.65886961634897e-05,0.20692739594337
"23648","SSBP3",-0.292960379197241,-4.30131946589116,1.69784071555521e-05,0.211788650858357
"55722","CEP72",0.374452927500993,4.30126264250436,1.69827623076854e-05,0.211842977026068
"10630","PDPN",-0.47145176251625,-4.29931071925414,1.71330128799347e-05,0.213717202664305
"55737","VPS35",0.236757894403218,4.29916345024216,1.71444002529872e-05,0.213859248755762
"80063","ATF7IP2",0.413569568501022,4.2976326789459,1.72631929193836e-05,0.215341068476391
