,Unnamed: 0,SYMBOL,FC,DESeq2.STAT,PVAL,ADJ.PVAL
146,79987,SVEP1,-2.64930714198795,-9.70294417340227,2.92921695475478e-22,3.56720040750037e-18
147,116535,MRGPRF,-3.36780797776113,-9.69306203052685,3.22705700158641e-22,3.92991001653194e-18
148,5737,PTGFR,-3.65099379246469,-9.69140486903222,3.27985656388972e-22,3.9942093235049e-18
149,2788,GNG7,-3.45339817936506,-9.69069114407089,3.30285944177767e-22,4.0222222281968394e-18
150,54437,SEMA5B,3.6048089399353,9.68803795303717,3.38977858850655e-22,4.1280723650832795e-18
151,3779,KCNMB1,-3.9464411536763,-9.67481542472385,3.85787150470621e-22,4.6981159184312196e-18
152,7111,TMOD1,-4.11920426708154,-9.65836032432023,4.53057073965042e-22,5.51732904674628e-18
154,5013,OTX1,5.09152036059543,9.61840619139868,6.68590580997753e-22,8.14209609539064e-18
155,3090,HIC1,-1.96880428505395,-9.61646075941069,6.81352692671264e-22,8.29751309135065e-18
156,7177,TPSAB1,-3.1105262601287,-9.561932956038,1.1557755419315901e-21,1.40750345496429e-17
157,5579,PRKCB,-3.11161813934335,-9.54983121364368,1.29907762693061e-21,1.5820167340761e-17
158,9401,RECQL4,2.30278947546009,9.52245736186917,1.69131463464349e-21,2.05968296206885e-17
159,2995,GYPC,-2.50842290190384,-9.51335889052986,1.84603563018352e-21,2.24810219043749e-17
160,56099,PCDHGB7,-2.12101908678208,-9.51225480250622,1.86573866691047e-21,2.27209654856357e-17
161,4684,NCAM1,-4.78603599923131,-9.49781306932863,2.14344355327241e-21,2.61028555917514e-17
162,58189,WFDC1,-3.21609900354456,-9.49706407539538,2.15891202038751e-21,2.62912305842791e-17
163,1879,EBF1,-2.56292568949896,-9.48072549790997,2.52521201485778e-21,3.0752031916938e-17
164,6790,AURKA,2.77441017833964,9.46923934329515,2.81888885780519e-21,3.43284285103517e-17
165,9735,KNTC1,1.84134598753348,9.46446534049087,2.95066679867017e-21,3.59332202742054e-17
166,3727,JUND,-1.61384745599876,-9.44891562349281,3.42358920655282e-21,4.16924693574003e-17
167,57419,SLC24A3,-2.6987368770782,-9.4192559906883,4.54295600349441e-21,5.53241182105549e-17
168,30815,ST6GALNAC6,-1.57208570074079,-9.41657376385523,4.66047605006509e-21,5.67552773376927e-17
169,166336,PRICKLE2,-2.44683247486969,-9.3979571239001,5.5632688026019705e-21,6.77494874780868e-17
170,3708,ITPR1,-2.55412878181623,-9.39185083235065,5.89550309949017e-21,7.17954367455913e-17
171,9172,MYOM2,-3.10874490589943,-9.38637850103196,6.2098735162294304e-21,7.5623839680642e-17
172,2318,FLNC,-4.59979246773759,-9.38635074028147,6.2115098252339504e-21,7.56437666516991e-17
173,2669,GEM,-2.86949843977477,-9.3821255285253,6.46559436862879e-21,7.87380082211614e-17
174,57863,CADM3,-4.84982100886925,-9.36699340976591,7.46280431096617e-21,9.0882030898946e-17
175,58494,JAM2,-2.84465442207364,-9.35952394402776,8.00967590306124e-21,9.75418331474798e-17
176,482,ATP1B2,-2.91976308597489,-9.34919978906158,8.83133293774832e-21,1.07547972515899e-16
177,8736,MYOM1,-3.9084526754449,-9.34163046374872,9.48618784517123e-21,1.15522795578495e-16
178,6422,SFRP1,-4.27119360756692,-9.33909530943339,9.71607390120458e-21,1.18322347968869e-16
179,257194,NEGR1,-3.82462698668367,-9.33825505781644,9.79347625227407e-21,1.19264953800194e-16
180,1359,CPA3,-2.68246983068081,-9.33084268907228,1.05032466253374e-20,1.27908537403359e-16
181,3149,HMGB3,2.19096274022084,9.3267433416095,1.0917382483030801e-20,1.32951883878349e-16
182,90865,IL33,-3.35607487060798,-9.32656901916637,1.09353468356149e-20,1.33170653764118e-16
183,7048,TGFBR2,-1.59114515919181,-9.31519292402249,1.21731108704881e-20,1.48244144180804e-16
184,80728,ARHGAP39,1.55252940789815,9.30089478373834,1.39268654947178e-20,1.69601367994673e-16
185,9837,GINS1,2.92657665420792,9.29558086582372,1.4640458102205002e-20,1.78291498768653e-16
186,146909,KIF18B,4.13843455269058,9.28234235212242,1.6579297264033602e-20,2.01902682081401e-16
187,5121,PCP4,-6.2111207108815,-9.28143231834645,1.6721536261404802e-20,2.03634868591388e-16
188,23492,CBX7,-2.96121843798752,-9.2803770093579,1.68879933358773e-20,2.05661982844313e-16
189,10580,SORBS1,-3.83307821480564,-9.27328817959228,1.8049394519549402e-20,2.1980552645907199e-16
190,5178,PEG3,-3.16897035693715,-9.26570506615804,1.93792680206342e-20,2.36000725955284e-16
192,2305,FOXM1,3.27189637328269,9.23659715809151,2.5446096097955102e-20,3.09882558280898e-16
193,5136,PDE1A,-2.78727561922073,-9.23654750506267,2.5457902778323e-20,3.10026340034418e-16
194,4857,NOVA1,-4.01420969238191,-9.22395892248392,2.8632876248534504e-20,3.48691166954653e-16
195,256691,MAMDC2,-3.80832277329477,-9.21879178554137,3.0046661731998904e-20,3.65908246572282e-16
196,6649,SOD3,-3.09412208841323,-9.21339562663611,3.15967904070059e-20,3.8478571357651797e-16
197,5649,RELN,-4.55000809895918,-9.21119015364614,3.22528715300121e-20,3.92775469492487e-16
198,56920,SEMA3G,-2.2180335822563,-9.19438652300433,3.77140419062669e-20,4.59281602334519e-16
199,55885,LMO3,-4.52219261896,-9.19239500880331,3.8419034832595305e-20,4.67867006191345e-16
200,947,CD34,-2.35453067326418,-9.18720356690434,4.03186285660215e-20,4.9100025867701e-16
201,1408,CRY2,-1.57826360659925,-9.18386982429863,4.15871250330554e-20,5.06448008652549e-16
204,8605,PLA2G4C,-2.27227063674163,-9.15908913712731,5.2337199661915906e-20,6.37362417482812e-16
205,1428,CRYM,-3.57391547491281,-9.1554982944387,5.41075149230213e-20,6.589213167325529e-16
206,220164,DOK6,-3.46225752735943,-9.15178225102031,5.600187736419841e-20,6.81990862541208e-16
207,196740,VSTM4,-2.39873069359846,-9.1178917695808,7.65998600892027e-20,9.3283309616631e-16
208,55215,FANCI,2.08138060627472,9.10269719440118,8.8115829084027e-20,1.0730745665852802e-15
209,10435,CDC42EP2,-2.11227779385096,-9.08735776919554,1.01475028547979e-19,1.23576289765729e-15
210,4881,NPR1,-2.57236795989448,-9.08562316534026,1.0310632505675301e-19,1.2556288265411302e-15
211,2353,FOS,-2.86350458271022,-9.08343073897155,1.05205303013535e-19,1.28119018009883e-15
212,147463,ANKRD29,-3.41268807017913,-9.07946055242786,1.0911429447751402e-19,1.3287938781471601e-15
213,80177,MYCT1,-1.95920668592862,-9.07869229922954,1.0988711536811301e-19,1.3382052909528702e-15
214,26112,CCDC69,-2.82628962082522,-9.06549407332579,1.24040805485123e-19,1.5105689291978202e-15
215,4638,MYLK,-3.6455432118716,-9.0611625290545,1.29067526727401e-19,1.5717843404862902e-15
216,1958,EGR1,-2.93573054480461,-9.04568793901315,1.48725698275941e-19,1.81118155360441e-15
217,9104,RGN,-3.36192444869042,-9.04538150844516,1.49143448045657e-19,1.81626891030001e-15
218,10235,RASGRP2,-3.11375260156308,-9.03278021055721,1.67364591658388e-19,2.03816599721585e-15
219,80727,TTYH3,1.57705126561275,9.02321755499499,1.82644374812169e-19,2.22424319646259e-15
220,2247,FGF2,-3.07938017402999,-9.02159164967314,1.85376067789684e-19,2.2575097535427703e-15
221,10615,SPAG5,2.79256820544955,9.01497694440006,1.96911878550325e-19,2.39799285698585e-15
222,653,BMP5,-4.65553241310866,-9.0044656278786,2.1671863282114801e-19,2.6391995104959403e-15
